"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Violence in a given year (yes=1)","0.031*","0.031*","0.031*","0.031*","0.031*","0.031*","0.031*","0.031*","0.031*","0.031*","0.031*","0.031*","0.030*","0.031*","0.031*","0.031*","0.031*","0.031*","0.028","0.028","0.028","0.028*","0.026","0.026","0.029*","0.031*","0.031*","0.031*","0.031*","0.030*","0.031*","0.030*","0.031*"
"","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.015)","(0.015)","(0.014)","(0.014)","(0.015)","(0.015)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)"
"Loss of land (yes=1) for a household in a given year","-0.002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","(0.018)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of crops (yes=1) for a household in a given year","","0.013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","(0.008)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of money (yes=1) for a household in a given year","","","0.046**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(0.014)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft or destruction of goods (yes=1) for a household in a given year","","","","0.040**","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","(0.014)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Destruction of house (yes=1) for a household in a given year","","","","","0.059*","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","(0.023)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Time in prison (yes=1) for a household in 1998–2007","","","","","","-0.017","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(0.021)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Joining armed group (yes=1) for a household in 1998–2007","","","","","","","0.220","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(0.139)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victim of ambush (yes=1) for a household in 1998–2007","","","","","","","","0.027","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(0.034)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Captured or kidnapped (yes=1) for a household in 1998–2007","","","","","","","","","0.042","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(0.060)","","","","","","","","","","","","","","","","","","","","","","","",""
"Forced unpaid labor (yes=1) for a household in 1998–2007","","","","","","","","","","-0.028","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","(0.016)","","","","","","","","","","","","","","","","","","","","","","",""
"Beaten or tortured (yes=1) for a household in 1998–2007","","","","","","","","","","","-0.061***","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","(0.011)","","","","","","","","","","","","","","","","","","","","","",""
"Forced contributions paid (yes=1) for a household in 1998–2007","","","","","","","","","","","","-0.047***","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","(0.012)","","","","","","","","","","","","","","","","","","","","",""
"Excessive rainfall (yes=1) for a household in 1998–2007","","","","","","","","","","","","","-0.024***","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","","","","","",""
"Drought or lack of rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","-0.013*","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(0.005)","","","","","","","","","","","","","","","","","","",""
"Crop disease (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","-0.010*","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(0.005)","","","","","","","","","","","","","","","","","",""
"Bad harvest (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","-0.015**","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(0.005)","","","","","","","","","","","","","","","","",""
"House destruction by rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","-0.006","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","",""
"Severe landslide or erosion (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","-0.014**","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","(0.005)","","","","","","","","","","","","","","",""
"No access to inputs (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","-0.041","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","(0.037)","","","","","","","","","","","","","",""
"Increase in input prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","-0.040","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(0.037)","","","","","","","","","","","","",""
"Lack of market access (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","-0.071","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","(0.068)","","","","","","","","","","","",""
"Decrease in crop prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","-0.065","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","(0.060)","","","","","","","","","","",""
"Sale of land (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","-0.073","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","(0.068)","","","","","","","","","",""
"Sale of house (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","-0.086","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","(0.083)","","","","","","","","",""
"Humanitarian aid received (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","","-0.051","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","(0.046)","","","","","","","",""
"Conflict-caused loss of land/crops","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","(0.021)","","","","","","",""
