"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Number of causalties in a given year","0.261*","0.261*","0.266*","0.260*","0.266*","0.261*","0.261*","0.260*","0.260*","0.260*","0.259*","0.261*","0.258*","0.260*","0.263*","0.257*","0.260*","0.258*","0.253*","0.240","0.176","0.187","0.165","0.153","0.193","0.261*","0.267*","0.256","0.251","0.260*","0.260*","0.259*","0.266*"
"","(0.121)","(0.120)","(0.120)","(0.118)","(0.118)","(0.121)","(0.121)","(0.122)","(0.122)","(0.121)","(0.122)","(0.122)","(0.124)","(0.122)","(0.123)","(0.122)","(0.122)","(0.123)","(0.113)","(0.125)","(0.115)","(0.110)","(0.121)","(0.125)","(0.118)","(0.121)","(0.117)","(0.134)","(0.135)","(0.122)","(0.121)","(0.123)","(0.117)"
"Loss of land (yes=1) for a household in a given year","-0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","(0.017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of crops (yes=1) for a household in a given year","","0.018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","(0.011)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of money (yes=1) for a household in a given year","","","0.051**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(0.017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft or destruction of goods (yes=1) for a household in a given year","","","","0.051**","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","(0.017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
