"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Loss of land (yes=1) for a household in a given year","-0.002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","(0.017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of crops (yes=1) for a household in a given year","","0.018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","(0.011)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of money (yes=1) for a household in a given year","","","0.050**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(0.018)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft or destruction of goods (yes=1) for a household in a given year","","","","0.051**","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","(0.017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Destruction of house (yes=1) for a household in a given year","","","","","0.079**","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","(0.026)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Time in prison (yes=1) for a household in 1998–2007","","","","","","-0.004","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(0.047)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Joining armed group (yes=1) for a household in 1998–2007","","","","","","","-0.053","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(0.047)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victim of ambush (yes=1) for a household in 1998–2007","","","","","","","","0.045","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(0.075)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Captured or kidnapped (yes=1) for a household in 1998–2007","","","","","","","","","0.045","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(0.098)","","","","","","","","","","","","","","","","","","","","","","","",""
"Forced unpaid labor (yes=1) for a household in 1998–2007","","","","","","","","","","-0.021","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","(0.030)","","","","","","","","","","","","","","","","","","","","","","",""
"Beaten or tortured (yes=1) for a household in 1998–2007","","","","","","","","","","","-0.083***","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","(0.022)","","","","","","","","","","","","","","","","","","","","","",""
"Forced contributions paid (yes=1) for a household in 1998–2007","","","","","","","","","","","","-0.054***","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","(0.014)","","","","","","","","","","","","","","","","","","","","",""
"Excessive rainfall (yes=1) for a household in 1998–2007","","","","","","","","","","","","","-0.047***","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","(0.008)","","","","","","","","","","","","","","","","","","","",""
"Drought or lack of rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","-0.023***","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","","","","",""
"Crop disease (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","-0.024***","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","","","",""
"Bad harvest (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","-0.025***","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(0.007)","","","","","","","","","","","","","","","","",""
"House destruction by rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","-0.019*","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","(0.008)","","","","","","","","","","","","","","","",""
"Severe landslide or erosion (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","-0.033***","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","(0.009)","","","","","","","","","","","","","","",""
"No access to inputs (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","-0.103*","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","(0.042)","","","","","","","","","","","","","",""
"Increase in input prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","-0.102*","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(0.041)","","","","","","","","","","","","",""
"Lack of market access (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","-0.165*","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","(0.076)","","","","","","","","","","","",""
"Decrease in crop prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","-0.150*","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","(0.066)","","","","","","","","","","",""
"Sale of land (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","-0.170*","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","(0.077)","","","","","","","","","",""
"Sale of house (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","-0.192*","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","(0.094)","","","","","","","","",""
"Humanitarian aid received (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","","-0.125*","","","","","","","",""
