"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Violence in a given year (yes=1)","0.028*","0.029*","0.024","0.029*","0.029*","0.028*","0.028*","0.028*","0.026*","0.028*","0.028*","0.028*","0.026","0.028","0.026","0.029*","0.028*","0.027","0.018","0.016","0.048","0.039","0.040","0.050*","0.040","0.029*","0.026","0.027","0.029","0.025","-0.078","0.026","0.027"
"","(0.014)","(0.014)","(0.014)","(0.013)","(0.014)","(0.014)","(0.014)","(0.014)","(0.013)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.014)","(0.021)","(0.020)","(0.026)","(0.027)","(0.026)","(0.024)","(0.026)","(0.014)","(0.014)","(0.018)","(0.020)","(0.014)","(0.125)","(0.014)","(0.013)"
"Loss of land (yes=1) for a household in a given year","-0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","(0.018)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_vl_rob_land","-0.016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","(0.018)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of crops (yes=1) for a household in a given year","","0.019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","(0.011)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_vl_rob_product","","-0.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","(0.042)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of money (yes=1) for a household in a given year","","","0.042*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(0.018)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_vl_rob_money","","","0.084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(0.060)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft or destruction of goods (yes=1) for a household in a given year","","","","0.053**","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","(0.019)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_vl_rob_goods","","","","-0.019","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","(0.042)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Destruction of house (yes=1) for a household in a given year","","","","","0.081**","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","(0.028)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_vl_rob_destruction","","","","","-0.021","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","(0.070)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Time in prison (yes=1) for a household in 1998–2007","","","","","","-0.003","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(0.051)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_jail","","","","","","-0.006","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(0.051)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Joining armed group (yes=1) for a household in 1998–2007","","","","","","","-0.068","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(0.060)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_movi","","","","","","","0.038","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(0.061)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victim of ambush (yes=1) for a household in 1998–2007","","","","","","","","0.065","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(0.107)","","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_att","","","","","","","","-0.082","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(0.107)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Captured or kidnapped (yes=1) for a household in 1998–2007","","","","","","","","","0.004","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(0.088)","","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_kidnap","","","","","","","","","0.183","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(0.307)","","","","","","","","","","","","","","","","","","","","","","","",""
"Forced unpaid labor (yes=1) for a household in 1998–2007","","","","","","","","","","-0.016","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","(0.031)","","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_workforced","","","","","","","","","","-0.077","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","(0.046)","","","","","","","","","","","","","","","","","","","","","","",""
"Beaten or tortured (yes=1) for a household in 1998–2007","","","","","","","","","","","-0.082***","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","(0.022)","","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_torture","","","","","","","","","","","0.000","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","(.)","","","","","","","","","","","","","","","","","","","","","",""
"Forced contributions paid (yes=1) for a household in 1998–2007","","","","","","","","","","","","-0.052***","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","(0.014)","","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_contribution","","","","","","","","","","","","-0.027","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","(0.061)","","","","","","","","","","","","","","","","","","","","",""
"Excessive rainfall (yes=1) for a household in 1998–2007","","","","","","","","","","","","","-0.047***","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","(0.008)","","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_rain","","","","","","","","","","","","","0.002","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","(0.017)","","","","","","","","","","","","","","","","","","","",""
"Drought or lack of rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","-0.023***","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_drought","","","","","","","","","","","","","","0.003","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(0.019)","","","","","","","","","","","","","","","","","","",""
"Crop disease (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","-0.025***","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_disease","","","","","","","","","","","","","","","0.013","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(0.009)","","","","","","","","","","","","","","","","","",""
"Bad harvest (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","-0.024***","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(0.007)","","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_crop_bad","","","","","","","","","","","","","","","","-0.012","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(0.016)","","","","","","","","","","","","","","","","",""
"House destruction by rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","-0.018*","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","(0.008)","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_destru_rain","","","","","","","","","","","","","","","","","-0.008","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","(0.011)","","","","","","","","","","","","","","","",""
"Severe landslide or erosion (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","-0.032**","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","(0.010)","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_erosion","","","","","","","","","","","","","","","","","","-0.003","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","(0.012)","","","","","","","","","","","","","","",""
"No access to inputs (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","-0.103*","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","(0.041)","","","","","","","","","","","","","",""
"exposure_x_sk_ec_input_access","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","(0.014)","","","","","","","","","","","","","",""
"Increase in input prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","-0.103*","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(0.041)","","","","","","","","","","","","",""
"exposure_x_sk_ec_input_price","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(0.014)","","","","","","","","","","","","",""
"Lack of market access (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","-0.165*","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","(0.076)","","","","","","","","","","","",""
"exposure_x_sk_ec_nonmarket","","","","","","","","","","","","","","","","","","","","","-0.017","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","(0.013)","","","","","","","","","","","",""
"Decrease in crop prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","-0.150*","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","(0.066)","","","","","","","","","","",""
"exposure_x_sk_ec_output_price","","","","","","","","","","","","","","","","","","","","","","-0.011","","","","","","","","","","",""
