"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Loss of land (yes=1) for a household in a given year","-0.000***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","(0.000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of crops (yes=1) for a household in a given year","","-0.000***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","(0.000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft of money (yes=1) for a household in a given year","","","-0.000***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(0.000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theft or destruction of goods (yes=1) for a household in a given year","","","","-0.000***","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","(0.000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Destruction of house (yes=1) for a household in a given year","","","","","-0.000***","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","(0.000)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Time in prison (yes=1) for a household in 1998–2007","","","","","","-0.000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(0.000)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Joining armed group (yes=1) for a household in 1998–2007","","","","","","","-0.000***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(0.000)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victim of ambush (yes=1) for a household in 1998–2007","","","","","","","","-0.000","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(0.000)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Captured or kidnapped (yes=1) for a household in 1998–2007","","","","","","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(0.000)","","","","","","","","","","","","","","","","","","","","","","","",""
"Forced unpaid labor (yes=1) for a household in 1998–2007","","","","","","","","","","-0.000***","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","(0.000)","","","","","","","","","","","","","","","","","","","","","","",""
"Beaten or tortured (yes=1) for a household in 1998–2007","","","","","","","","","","","-0.000***","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","(0.000)","","","","","","","","","","","","","","","","","","","","","",""
"Forced contributions paid (yes=1) for a household in 1998–2007","","","","","","","","","","","","-0.000***","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","(0.000)","","","","","","","","","","","","","","","","","","","","",""
"Excessive rainfall (yes=1) for a household in 1998–2007","","","","","","","","","","","","","-0.000***","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","(0.000)","","","","","","","","","","","","","","","","","","","",""
"Drought or lack of rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","-0.000***","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(0.000)","","","","","","","","","","","","","","","","","","",""
"Crop disease (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","0.000","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(0.000)","","","","","","","","","","","","","","","","","",""
"Bad harvest (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","0.000***","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(0.000)","","","","","","","","","","","","","","","","",""
"House destruction by rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","0.000***","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","(0.000)","","","","","","","","","","","","","","","",""
"Severe landslide or erosion (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","0.000***","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","(0.000)","","","","","","","","","","","","","","",""
"No access to inputs (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","0.000**","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","(0.000)","","","","","","","","","","","","","",""
"Increase in input prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","0.000**","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(0.000)","","","","","","","","","","","","",""
"Lack of market access (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","-0.000**","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","(0.000)","","","","","","","","","","","",""
"Decrease in crop prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","-0.000","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","(0.000)","","","","","","","","","","",""
"Sale of land (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","0.000*","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","(0.000)","","","","","","","","","",""
"Sale of house (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","(0.000)","","","","","","","","",""
"Humanitarian aid received (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","","0.000**","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)","","","","","","","",""
"Conflict-caused loss of land/crops","","","","","","","","","","","","","","","","","","","","","","","","","","-0.000***","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)","","","","","","",""
"Conflict-caused loss of assets","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.000***","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)","","","","","",""
"Economic shocks (input prices, market access)","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000*","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.000)","","","","",""
"Coping strategies (asset/land sales, external help)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000*","","","",""
